# Entfernung Hyp100 Hyp130 Hyp160 Gty100
1 4.5155555555556 4.5136111111111 4.5125 4.5
51 4.7238888888889 4.6963888888889 4.6769444444444 4.5
101 4.8252777777778 4.7791666666667 4.7502777777778 4.5
151 4.9252777777778 4.8561111111111 4.8127777777778 4.5
201 5.0252777777778 4.9330555555556 4.8752777777778 4.5
251 5.1252777777778 5.01 4.9377777777778 4.5
301 5.2252777777778 5.0866666666667 5.0002777777778 4.5
351 5.3252777777778 5.1636111111111 5.0627777777778 4.5
401 5.4252777777778 5.2405555555556 5.1252777777778 4.5
451 5.5252777777778 5.3175 5.1877777777778 4.5
501 5.6252777777778 5.3944444444444 5.2502777777778 4.5
551 5.7252777777778 5.4713888888889 5.3127777777778 4.5
601 5.8252777777778 5.5483333333333 5.3752777777778 4.5
651 5.9252777777778 5.6252777777778 5.4377777777778 4.5
701 6.0252777777778 5.7022222222222 5.5002777777778 4.5
751 6.1252777777778 5.7791666666667 5.5627777777778 4.5
801 6.2252777777778 5.8561111111111 5.6252777777778 4.5
851 6.3252777777778 5.9330555555556 5.6877777777778 4.5
901 6.4252777777778 6.01 5.7502777777778 4.5
951 6.5252777777778 6.0866666666667 5.8127777777778 4.5
1001 6.6252777777778 6.1636111111111 5.8752777777778 4.5
1051 6.7252777777778 6.2405555555556 5.9377777777778 4.5
1101 6.8252777777778 6.3175 6.0002777777778 4.5
1151 6.9252777777778 6.3944444444444 6.0627777777778 4.5
1201 7.0252777777778 6.4713888888889 6.1252777777778 4.5
1251 7.1252777777778 6.5483333333333 6.1877777777778 4.5
1301 7.2252777777778 6.6252777777778 6.2502777777778 4.5
1351 7.3252777777778 6.7022222222222 6.3127777777778 4.5
1401 7.4252777777778 6.7791666666667 6.3752777777778 4.5
1451 7.5252777777778 6.8561111111111 6.4377777777778 4.5
1501 7.6252777777778 6.9330555555556 6.5002777777778 4.5
1551 7.7252777777778 7.01 6.5627777777778 4.5
1601 7.8252777777778 7.0866666666667 6.6252777777778 4.5
1651 7.9252777777778 7.1636111111111 6.6877777777778 4.5
1701 8.0252777777778 7.2405555555556 6.7502777777778 4.5
1751 8.1252777777778 7.3175 6.8127777777778 4.5
1801 8.2252777777778 7.3944444444444 6.8752777777778 4.5
1851 8.3252777777778 7.4713888888889 6.9377777777778 4.5
1901 8.4252777777778 7.5483333333333 7.0002777777778 4.5
1951 8.5252777777778 7.6252777777778 7.0627777777778 4.5
2001 8.6252777777778 7.7022222222222 7.1252777777778 4.5
2051 8.7252777777778 7.7791666666667 7.1877777777778 4.5
2101 8.8252777777778 7.8561111111111 7.2502777777778 4.5
2151 8.9252777777778 7.9330555555556 7.3127777777778 4.5
2201 9.0252777777778 8.01 7.3752777777778 4.5
2251 9.1252777777778 8.0866666666667 7.4377777777778 4.5
2301 9.2252777777778 8.1636111111111 7.5002777777778 4.5
2351 9.3252777777778 8.2405555555556 7.5627777777778 4.5
2401 9.4252777777778 8.3175 7.6252777777778 4.5
2451 9.5252777777778 8.3944444444444 7.6877777777778 4.5
