# Entfernung Hyp100 Hyp130 Hyp160 Gty100
1 25 28 32 1000
51 180 205 228 1000
101 209 272 335 1000
151 222 288 355 1000
201 234 305 375 1000
251 247 321 395 1000
301 259 337 415 1000
351 272 353 435 1000
401 284 370 455 1000
451 297 386 475 1000
501 309 402 495 1000
551 322 418 515 1000
601 334 435 535 1000
651 347 451 555 1000
701 359 467 575 1000
751 372 483 595 1000
801 384 500 615 1000
851 397 516 635 1000
901 409 532 655 1000
951 422 548 675 1000
1001 434 565 695 1000
1051 447 581 715 1000
1101 459 597 735 1000
1151 472 613 755 1000
1201 484 630 775 1000
1251 497 646 795 1000
1301 509 662 815 1000
1351 522 678 835 1000
1401 534 695 855 1000
1451 547 711 875 1000
1501 559 727 895 1000
1551 572 743 915 1000
1601 584 760 935 1000
1651 597 776 955 1000
1701 609 792 975 1000
1751 622 808 995 1000
1801 634 825 1015 1000
1851 647 841 1035 1000
1901 659 857 1055 1000
1951 672 873 1075 1000
2001 684 890 1095 1000
2051 697 906 1115 1000
2101 709 922 1135 1000
2151 722 938 1155 1000
2201 734 955 1175 1000
2251 747 971 1195 1000
2301 759 987 1215 1000
2351 772 1003 1235 1000
2401 784 1020 1255 1000
2451 797 1036 1275 1000
